"window_number";"window_end_time";"packets_number";"total_packets_size"
1215;1215;20;1017
1216;1216;39;1780
1217;1217;78;2901
1218;1218;32;1267
1219;1219;32;1545
1220;1220;21;1133
1221;1221;24;1329
1222;1222;66;2646
1223;1223;57;2071
1224;1224;24;997
1225;1225;21;960
1226;1226;23;1305
1227;1227;33;1390
1228;1228;80;3019
1229;1229;42;1936
1230;1230;25;1053
1231;1231;27;1487
1232;1232;19;1011
1233;1233;64;2402
1234;1234;66;2744
1235;1235;28;1257
1236;1236;19;818
1237;1237;15;720
1238;1238;34;1390
1239;1239;86;3432
1240;1240;42;1925
1241;1241;36;1774
1242;1242;16;773
1243;1243;18;900
1244;1244;71;2919
1245;1245;60;2292
1246;1246;25;1075
1247;1247;31;1591
1248;1248;18;944
1249;1249;31;1232
1250;1250;72;2562
1251;1251;33;1320
1252;1252;32;1566
1253;1253;32;1844
1254;1254;19;1010
1255;1255;60;2177
1256;1256;65;2626
1257;1257;33;1616
1258;1258;21;963
1259;1259;24;1351
1260;1260;36;1529
1261;1261;73;2606
1262;1262;36;1461
1263;1263;25;1050
1264;1264;15;706
1265;1265;26;1448
1266;1266;81;3564
1267;1267;60;2224
1268;1268;29;1303
1269;1269;30;1542
1270;1270;17;854
1271;1271;41;1837
1272;1272;84;3334
1273;1273;31;1222
1274;1274;25;1046
1275;1275;16;751
1276;1276;15;720
1277;1277;59;2150
1278;1278;74;3174
1279;1279;42;2197
1280;1280;19;824
1281;1281;24;1339
1282;1282;41;1827
1283;1283;78;2936
1284;1284;44;2056
1285;1285;25;1076
1286;1286;17;800
1287;1287;17;816
1288;1288;60;2202
1289;1289;59;2202
1290;1290;44;2299
1291;1291;32;1676
1292;1292;15;720
1293;1293;43;2004
1294;1294;79;3026
1295;1295;32;1267
1296;1296;32;1541
1297;1297;22;1203
1298;1298;14;672
1299;1299;60;2184
1300;1300;60;2224
1301;1301;24;995
1302;1302;24;1110
1303;1303;32;1844
1304;1304;45;2153
1305;1305;78;2931
1306;1306;41;1916
1307;1307;28;1233
1308;1308;26;1430
1309;1309;20;1026
1310;1310;59;2136
1311;1311;58;2133
1312;1312;23;942
1313;1313;22;962
1314;1314;17;816
1315;1315;45;2142
1316;1316;88;3720
1317;1317;41;1818
1318;1318;35;1728
1319;1319;17;801
1320;1320;13;644
1321;1321;71;2923
1322;1322;60;2324
1323;1323;27;1156
1324;1324;23;1010
1325;1325;14;672
1326;1326;31;1239
1327;1327;83;3200
1328;1328;52;2625
1329;1329;30;1360
1330;1330;16;765
1331;1331;25;1385
1332;1332;66;2548
1333;1333;61;2361
1334;1334;38;1864
1335;1335;21;937
1336;1336;16;768
1337;1337;31;1232
1338;1338;72;2574
1339;1339;35;1402
1340;1340;28;1286
1341;1341;37;2177
1342;1342;21;1126
1343;1343;63;2397
1344;1344;67;2780
1345;1345;28;1233
1346;1346;23;1014
1347;1347;23;1282
1348;1348;38;1697
1349;1349;73;2616
1350;1350;32;1268
1351;1351;24;1005
1352;1352;24;1288
1353;1353;25;1390
1354;1354;72;2966
1355;1355;60;2260
1356;1356;30;1322
1357;1357;32;1649
1358;1358;19;961
1359;1359;32;1286
1360;1360;82;3240
1361;1361;40;1767
1362;1362;24;1017
1363;1363;17;801
1364;1364;16;812
1365;1365;78;3375
1366;1366;72;3068
1367;1367;22;901
1368;1368;20;866
1369;1369;17;816
1370;1370;41;1907
1371;1371;81;3143
1372;1372;40;1740
1373;1373;36;1749
1374;1374;15;705
1375;1375;15;720
1376;1376;60;2189
1377;1377;65;2566
1378;1378;36;1835
1379;1379;32;1633
1380;1380;16;800
1381;1381;33;1331
1382;1382;74;2671
1383;1383;43;1994
1384;1384;40;2002
1385;1385;23;1236
1386;1386;15;720
1387;1387;62;2285
1388;1388;57;2109
1389;1389;31;1466
1390;1390;28;1442
1391;1391;22;1154
1392;1392;44;2076
1393;1393;75;2715
1394;1394;34;1361
1395;1395;26;1100
1396;1396;30;1685
1397;1397;33;1921
1398;1398;63;2342
1399;1399;56;2059
1400;1400;25;1046
1401;1401;27;1343
1402;1402;26;1404
1403;1403;38;1720
1404;1404;80;3135
1405;1405;33;1301
1406;1406;26;1091
1407;1407;17;803
1408;1408;23;1297
1409;1409;82;3653
1410;1410;58;2158
1411;1411;23;958
1412;1412;22;991
1413;1413;26;1457
1414;1414;33;1412
1415;1415;75;2703
1416;1416;41;1848
1417;1417;34;1636
1418;1418;15;720
1419;1419;13;624
1420;1420;69;2834
1421;1421;79;3557
1422;1422;28;1208
1423;1423;19;827
1424;1424;15;720
1425;1425;33;1329
1426;1426;82;3218
1427;1427;39;1699
1428;1428;26;1102
1429;1429;25;1361
1430;1430;21;1137
1431;1431;61;2238
1432;1432;57;2098
1433;1433;36;1747
1434;1434;37;2028
1435;1435;21;1091
1436;1436;31;1228
1437;1437;74;2669
